Product_Name,Product_Description,Product_Price,Product_Initial_Price,Product_Discount,Product_URL,Product_Image_URL,Product_Tagging,Rating_Score,Review_Count,Product_Code
Jordan Sport,Men's Dri-FIT Graphic Shorts,1197.0,1995.0,40,https://www.nike.com/ph/t/jordan-sport-dri-fit-graphic-shorts-V7UPseUL/HQ8665-891,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/7701e443-ac05-410b-8079-8435e83a2983/M+J+DF+SPRT+GFX+SHORT.png",Recycled Materials,0.0,0,HQ8665-891
Jordan Sport,Men's Dri-FIT Graphic Shorts,1197.0,1995.0,40,https://www.nike.com/ph/t/jordan-sport-dri-fit-graphic-shorts-V7UPseUL/HQ8665-010,"https://static.nike.com/a/images/t_default/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/b8c3ca49-351c-42c2-8b62-f0993ccb6166/M+J+DF+SPRT+GFX+SHORT.png",Recycled Materials,0.0,0,HQ8665-010
Nike Free Metcon 6,Women's Workout Shoes,4827.0,6895.0,30,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-605,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/ac43567a-67ad-4569-b6ca-09499e2289dc/W+NIKE+FREE+METCON+6.png",Recycled Materials,4.2,388,FJ7126-605
Nike Free Metcon 6,Women's Workout Shoes,4137.0,6895.0,40,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-301,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/8cf3a824-dfa6-433c-a1d2-708e6b2040a1/W+NIKE+FREE+METCON+6.png",Recycled Materials,4.2,388,FJ7126-301
Nike Free Metcon 6,Women's Workout Shoes,5516.0,6895.0,20,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-012,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/09a17536-5512-404d-862c-365471a05e61/W+NIKE+FREE+METCON+6.png",Recycled Materials,4.2,388,FJ7126-012
Nike Free Metcon 6,Women's Workout Shoes,6206.0,6895.0,10,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-001,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e467e562-4c7a-4e5d-9302-9e9104528d33/W+NIKE+FREE+METCON+6.png",Recycled Materials,4.2,388,FJ7126-001
Nike Free Metcon 6,Women's Workout Shoes,4137.0,6895.0,40,https://www.nike.com/ph/t/free-metcon-6-workout-shoes-Q3pWcF/FJ7126-108,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/3b588d06-d178-4f51-84e7-1d2f1b8ef786/W+NIKE+FREE+METCON+6.png",Recycled Materials,4.2,388,FJ7126-108
Nike Court Shot,Men's Shoes,2867.0,4095.0,30,https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-111,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e195c577-547d-4e6f-b165-540f5741cffa/COURT+SHOT.png",Recycled Materials,4.3,43,FQ8146-111
Nike Court Shot,Men's Shoes,2457.0,4095.0,40,https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-114,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/5348253d-1f70-455f-b228-1bf544af0b5d/COURT+SHOT.png",Recycled Materials,4.3,43,FQ8146-114
Nike Court Shot,Men's Shoes,3276.0,4095.0,20,https://www.nike.com/ph/t/court-shot-shoes-ZfRXql/FQ8146-104,"https://static.nike.com/a/images/t_default/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/05aa8dae-fb0d-4ed1-a966-2dd8df4c676b/COURT+SHOT.png",Recycled Materials,4.3,43,FQ8146-104
